Global Rank,Institution,Country,Sector,Best Country Quartile
528,Universite du Quebec en Quebec *,CAN,Universities,1
531,Aalborg University *,DNK,Universities,1
532,Universidad de Murcia *,ESP,Universities,1
533,"City University of New York, Hunter College",USA,Universities,1
534,Chulalongkorn University,THA,Universities,1
535,The University of Reading,GBR,Universities,1
535,University of Antwerp,BEL,Universities,1
537,Linkoping University,SWE,Universities,1
537,Generalitat Valenciana *,MUL,Government,1
537,Universitatsklinikum Heidelberg,DEU,Health,1
540,USF Health,USA,Universities,1
541,Politecnico di Milano,ITA,Universities,1
541,Karlsruher Institut fur Technologie,DEU,Universities,1
541,Universidade Federal do Parana,BRA,Universities,1
544,Istanbul University *,TUR,Universities,1
544,University of South Africa,ZAF,Universities,1
546,Universitat Politecnica de Valencia *,ESP,Universities,1
547,James Cook University *,AUS,Universities,1
547,Hospital Clinico Universitario de Valencia *,ESP,Health,1
549,Natural History Museum London,GBR,Government,1
550,Empresa Brasileira de Pesquisa Agropecuaria *,BRA,Government,1
551,University of Western Sydney,AUS,Universities,1
552,Pan American Health Organization,MUL,Health,1
553,Centro Hospitalar de Sao Joao,PRT,Health,1
553,National Cancer Center,JPN,Health,1
553,Clemson University,USA,Universities,1
556,Departament de Salut Barcelona,ESP,Health,1
557,Oslo University Hospital,NOR,Health,1
558,Hospital Israelita Albert Einstein,BRA,Health,1
559,Radboud University Nijmegen,NLD,Universities,1
560,San Diego State University,USA,Universities,1
561,Instituto Politecnico Nacional,MEX,Universities,1
562,"City University of New York, City College",USA,Universities,1
562,Universidade de Brasilia,BRA,Universities,1
562,"Hyundai Motor Co, South Korea",KOR,Companies,1
562,Royal Children's Hospital Melbourne,AUS,Health,1
566,Airlangga university,IDN,Universities,1
567,Universitat Duisburg Essen *,DEU,Universities,1
568,Universite de Lausanne,CHE,Universities,1
569,Ministry of Agriculture,CHN,Government,1
569,International Monetary Fund,USA,Non-Profit,1
569,American Heart Association,USA,Non-Profit,1
572,Bundesanstalt fur Geowissenschaften und Rohstoffe,DEU,Government,1
573,Istituto Superiore di Sanita,ITA,Health,1
573,University of Wollongong *,AUS,Universities,1
575,Umea University *,SWE,Universities,1
576,Manipal University,IND,Universities,1
577,Universidade de Coimbra *,PRT,Universities,1
577,University of Guelph,CAN,Universities,1
579,Flinders University,AUS,Universities,1
580,AB Volvo *,MUL,Companies,1
580,University of Florida Health Science Center,USA,Health,1
582,VIT University,IND,Universities,1
583,Cisco Systems Inc *,MUL,Companies,1
583,Wayne State University,USA,Universities,1
585,Ministry of Health,SAU,Health,1
585,Brigham Young University,USA,Universities,1
587,Secretaria General de l'Esport  *,ESP,Government,1
588,Institut Nacional d'Educacio Fisica de Catalunya,ESP,Government,1
589,"Texas A&M University, Health Science Center",USA,Universities,1
589,University of Ljubljana *,SVN,Universities,1
589,Hacettepe University,TUR,Universities,1
592,"University of Texas, Health Science Center at Houston",USA,Universities,1
593,Fondazione IRCCS San Raffaele del Monte Tabor,ITA,Health,1
593,Institut de Recherche pour le Developpement *,MUL,Government,1
595,Commissariat a l'Energie Atomique et aux Energies Alternatives *,FRA,Government,1
